dataset,target,model_a,model_b,auc_a,auc_b,diff,ci_lo,ci_hi,z,p_raw,p_holm
RSNA,epidural,CNN,ViT,0.9304986720825573,0.910988525261428,0.01951014682112928,0.0068783133607658205,0.032141980281492746,3.027207825569428,0.0024682419613417475,0.012341209806708737
RSNA,epidural,CNN,Hybrid,0.9304986720825573,0.9321324013652931,-0.001633729282735752,-0.00858764233407681,0.005320183768605307,-0.4604674420013081,0.6451807357909425,0.8204159203910035
RSNA,epidural,CNN,U-Net,0.9304986720825573,0.917243755957884,0.013254916124673333,0.0017136632561564249,0.02479616899319024,2.2509824989041567,0.024386645859479583,0.07315993757843875
RSNA,epidural,ViT,Hybrid,0.910988525261428,0.9321324013652931,-0.021143876103865034,-0.027757926169809016,-0.01452982603792105,-6.265636825238921,3.7130480365957543e-10,2.2278288219574525e-09
RSNA,epidural,ViT,U-Net,0.910988525261428,0.917243755957884,-0.006255230696455949,-0.0211424367719896,0.008631975379077703,-0.823527720234341,0.41020796019550176,0.8204159203910035
RSNA,epidural,Hybrid,U-Net,0.9321324013652931,0.917243755957884,0.014888645407409085,0.003109677681181044,0.026667613133637125,2.4773995018368336,0.013234367380355577,0.05293746952142231
RSNA,intraparenchymal,CNN,ViT,0.9596921584832879,0.9566867690099773,0.003005389473310638,0.0005202611649617063,0.005490517781659569,2.370282092645007,0.017774517995506525,0.017774517995506525
RSNA,intraparenchymal,CNN,Hybrid,0.9596921584832879,0.9673340389797684,-0.007641880496480513,-0.009241573162463804,-0.006042187830497222,-9.362930058852514,7.755551407733591e-21,1.5511102815467182e-20
RSNA,intraparenchymal,CNN,U-Net,0.9596921584832879,0.9144808586951779,0.045211299788110004,0.042086423637779924,0.048336175938440085,28.357130016042014,6.836257915328939e-177,3.4181289576644694e-176
RSNA,intraparenchymal,ViT,Hybrid,0.9566867690099773,0.9673340389797684,-0.010647269969791151,-0.011835719003616513,-0.009458820935965789,-17.55924324940975,5.054456869924793e-69,1.516337060977438e-68
RSNA,intraparenchymal,ViT,U-Net,0.9566867690099773,0.9144808586951779,0.042205910314799366,0.03919560857758262,0.04521621205201611,27.479658643195396,3.073289693477336e-166,1.2293158773909344e-165
RSNA,intraparenchymal,Hybrid,U-Net,0.9673340389797684,0.9144808586951779,0.05285318028459052,0.04995889860338746,0.055747461965793575,35.791378046915206,1.5040738108805788e-280,9.024442865283472e-280
RSNA,intraventricular,CNN,ViT,0.9773669721565379,0.9710713891640905,0.006295582992447368,0.004314244491210227,0.00827692149368451,6.22766676121987,4.734327084376869e-10,9.468654168753738e-10
RSNA,intraventricular,CNN,Hybrid,0.9773669721565379,0.9802010129089288,-0.0028340407523909095,-0.004011393214816696,-0.0016566882899651228,-4.717888638004279,2.3830487013749974e-06,2.3830487013749974e-06
RSNA,intraventricular,CNN,U-Net,0.9773669721565379,0.9541220480313591,0.023244924125178756,0.020847474424154543,0.02564237382620297,19.00319914501365,1.6045921890199942e-80,8.02296094509997e-80
RSNA,intraventricular,ViT,Hybrid,0.9710713891640905,0.9802010129089288,-0.009129623744838278,-0.010183375662586676,-0.00807587182708988,-16.98097382400889,1.1358561249693557e-64,4.543424499877423e-64
