dataset,method,metric,n_slices,n_patients,mean,std,median,q1,q3,ci_lo,ci_hi
PhysioNet,CNN,dice,40,6,0.017282583153792073,0.033474321582153535,0.0005310736887622625,0.00032531230681343004,0.01615421986207366,0.004850858981323351,0.03514966124101555
PhysioNet,CNN,iou,40,6,0.009197208145269541,0.017744161136531975,0.0004658060206566006,0.0003168191105942242,0.008271049940958619,0.002586324664055913,0.018799607421346228
PhysioNet,CNN,recall,40,6,0.07539629226084799,0.12161631416147825,0.0,0.0,0.0881822444498539,0.03493340047665269,0.12079356142452785
PhysioNet,CNN,precision,40,6,0.01019945938460296,0.020439935344112575,0.0,0.0,0.008514133282005787,0.0027513664620831455,0.021194858336355538
PhysioNet,CNN,pg,40,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhysioNet,CNN,ap,40,6,0.01426988164166687,0.017782627224295324,0.007608841639012098,0.005015623872168362,0.014164142543449998,0.007366178569216759,0.023275678829612352
PhysioNet,ViT,dice,40,6,0.018675757569917552,0.024253954192050453,0.005465829977765679,0.0001918954512802884,0.03238610923290253,0.011511324713580129,0.029296065142104977
PhysioNet,ViT,iou,40,6,0.00964151483644855,0.01256472694023489,0.002759213442914188,0.0001918954512802884,0.016500253695994616,0.005962487709641411,0.015049732087320359
PhysioNet,ViT,recall,40,6,0.404035001907323,0.4263828642652215,0.2526322826743126,0.0,0.9365355223417282,0.21938329445210433,0.65138807396094
PhysioNet,ViT,precision,40,6,0.009607639148453018,0.012686801095697408,0.0027333081234246492,0.0,0.01653243089094758,0.005900908829062246,0.015060833306954435
PhysioNet,ViT,pg,40,6,0.05,0.21794494717703367,0.0,0.0,0.0,0.0,0.10256410256410256
PhysioNet,ViT,ap,40,6,0.021108734562585597,0.038583306748190806,0.005988244898617268,0.0024964947369880974,0.019883955363184214,0.008602280862538553,0.04605379975902433
PhysioNet,Hybrid,dice,40,6,0.030715236697142247,0.047244230903460985,0.0016296474495902658,0.0003660825750557706,0.05171389319002628,0.012055136393591499,0.05446055872562283
PhysioNet,Hybrid,iou,40,6,0.01641273217755952,0.025523044509903368,0.0010187711741309613,0.0003660825750557706,0.02691883174702525,0.006396056477126713,0.029111230923390102
PhysioNet,Hybrid,recall,40,6,0.13329061309341342,0.18496291706511334,0.013924777507781982,0.0,0.20155002549290657,0.06188615161362429,0.21456156291138742
PhysioNet,Hybrid,precision,40,6,0.01823117692692904,0.02911377710041416,0.000721428485121578,0.0,0.02892317483201623,0.00688739973702468,0.032491272364400386
PhysioNet,Hybrid,pg,40,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhysioNet,Hybrid,ap,40,6,0.02022956976434216,0.02655504907785645,0.009157480206340551,0.003865308768581599,0.029694272205233574,0.010764054136795674,0.03220509229435907
PhysioNet,U-Net,dice,40,6,0.3315043666807469,0.30911985043688145,0.24168241024017334,0.019011937314644456,0.6022525578737259,0.12839308274319258,0.5739199332568605
PhysioNet,U-Net,iou,40,6,0.24824433531030082,0.2521590860458413,0.13879791647195816,0.01793770119547844,0.4318506717681885,0.08105594149177395,0.4544330137192874
PhysioNet,U-Net,recall,40,6,0.28616408272646365,0.3148061460650686,0.15646766126155853,0.0,0.534668818116188,0.07653667350731246,0.5276681280584596
PhysioNet,U-Net,precision,40,6,0.541992937028408,0.42153703169441,0.68621626496315,0.0,0.9613134562969208,0.34539612202145764,0.7182181039222258
PhysioNet,U-Net,pg,40,6,0.7,0.45825756949558405,1.0,0.0,1.0,0.5,0.8478260869565217
PhysioNet,U-Net,ap,40,6,0.4476942568726372,0.3216934842920846,0.46494634449481964,0.103647755458951,0.7327504754066467,0.2630949819153229,0.661683001115012
PhysioNet,Chance,dice,40,6,0.008044529022299685,0.006252926669459267,0.007881494704633951,0.0038139427197165787,0.010188165353611112,0.006219048867933452,0.00952423418397611
PhysioNet,Chance,iou,40,6,0.004063593133469112,0.0031720133122232668,0.003971496829763055,0.0019257664971519262,0.005135263199917972,0.0031381786410587236,0.004816636805563181
PhysioNet,Chance,recall,40,6,0.505337518453598,0.04350016551554651,0.5067147612571716,0.48782389611005783,0.5404002219438553,0.49222577132027723,0.5143679024084754
PhysioNet,Chance,precision,40,6,0.0040595231082988905,0.0032198964956889264,0.0039583679754287004,0.0018987080838996917,0.005126114934682846,0.0031207861234981787,0.004826509055879849
PhysioNet,Chance,pg,40,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhysioNet,Chance,ap,40,6,0.004191056182025932,0.003172144225839653,0.004063872853294015,0.002019345556618646,0.005015527945943177,0.003249548265658733,0.004922387493116289
CQ500,CNN,dice,799,11,0.01740380432963317,0.04396151843641252,0.0003071253013331443,0.00020283976482460275,0.00930985203012824,0.0051767305918068,0.03288835929298893
CQ500,CNN,iou,799,11,0.009445609081691083,0.024584381099635105,0.00030030030757188797,0.00020283976482460275,0.004883630201220512,0.002793266958903377,0.018032806784278408
CQ500,CNN,recall,799,11,0.04962076386597091,0.11432014870796263,0.0,0.0,0.03811749815940857,0.013793751474746763,0.08368442726798257
CQ500,CNN,precision,799,11,0.011434077462202576,0.029872300313717372,0.0,0.0,0.005876413779333234,0.003399905482545966,0.021566166651290106
CQ500,CNN,pg,799,11,0.012515644555694618,0.11117105377322879,0.0,0.0,0.0,0.0016023724082934608,0.0277173796466441
CQ500,CNN,ap,799,11,0.026822120229382802,0.03357739840209042,0.011369258165359497,0.003521122271195054,0.04209996573626995,0.014037799787307143,0.03867323642871998
CQ500,ViT,dice,799,11,0.05890290408791138,0.08189623250665755,0.021276595070958138,0.000504623370943591,0.08695127069950104,0.024434743791046532,0.09023319316411771
CQ500,ViT,iou,799,11,0.03239768920158692,0.04718133785663633,0.010801704600453377,0.0003669967409223318,0.04552484303712845,0.013031894030359701,0.05025647257840383
CQ500,ViT,recall,799,11,0.49320566834408663,0.42248078197583017,0.4645669162273407,0.0028610987355932593,0.9945181012153625,0.38145459862568293,0.59041344747538
CQ500,ViT,precision,799,11,0.034043656749153925,0.04951479895351922,0.011606022715568542,0.00019879008323187009,0.05049617774784565,0.01327931556298991,0.05289895893456367
CQ500,ViT,pg,799,11,0.10137672090112641,0.30182690628978315,0.0,0.0,0.0,0.028842905405405406,0.17236383665522365
CQ500,ViT,ap,799,11,0.06638336504652165,0.11715585277174202,0.01849096082150936,0.004578431136906147,0.07033966109156609,0.026439266368641853,0.10179900202936577
CQ500,Hybrid,dice,799,11,0.05005852150323572,0.09496618128388003,0.0030061891302466393,0.0002958142868010327,0.05891899950802326,0.02069368552659712,0.09134037527580971
CQ500,Hybrid,iou,799,11,0.028617932413817358,0.05785492883936126,0.0015937666175886989,0.0002958142868010327,0.030435150489211082,0.011002580192153095,0.054319919934825045
