dataset,model,auc_max,auc_noisy_or
PhysioNet,CNN,0.8097609561752989,0.8273406374501993
PhysioNet,ViT,0.8046812749003984,0.8615537848605578
PhysioNet,Hybrid,0.8014940239043825,0.8545318725099602
CQ500,CNN,0.7233958883144321,0.7619343120404684
CQ500,ViT,0.7746026544322465,0.8060939684354747
CQ500,Hybrid,0.7905920004462403,0.8257654937752972
