unit,dataset,metric,method_a,method_b,n,mean_a,mean_b,median_diff,W,p_raw,effect_rank_biserial,p_holm
slice,CQ500,ap,ViT,Hybrid,799,0.06638336504652165,0.050615395205200676,0.0006073275581002235,111412.0,1.2178908171770468e-13,0.3028035043804756,1.2178908171770468e-13
slice,CQ500,ap,ViT,U-Net,799,0.06638336504652165,0.4525162413863584,-0.4350893683731556,36263.0,6.405991618672371e-80,-0.773072590738423,2.5623966474689484e-79
slice,CQ500,ap,ViT,Chance,799,0.06638336504652165,0.009282590383115937,0.01071317307651043,4308.0,1.749961271587109e-125,0.9730413016270338,1.574965144428398e-124
slice,CQ500,ap,Hybrid,U-Net,799,0.050615395205200676,0.4525162413863584,-0.42871791776269674,26285.0,4.9535971119452344e-93,-0.8355131414267835,2.4767985559726173e-92
slice,CQ500,ap,Hybrid,Chance,799,0.050615395205200676,0.009282590383115937,0.011356017086654902,4086.0,7.764910266143788e-126,0.9744305381727159,7.764910266143788e-125
slice,CQ500,ap,U-Net,Chance,799,0.4525162413863584,0.009282590383115937,0.4932094666582998,15535.0,2.7245756949590683e-108,0.9027847309136421,1.9072029864713478e-107
patient,PhysioNet,dice,CNN,ViT,6,0.0162930185420729,0.019179257019493013,-0.004928489103234585,6.0,0.4375,-0.42857142857142855,0.9375
patient,PhysioNet,dice,CNN,Hybrid,6,0.0162930185420729,0.0307484171624904,-0.006003961077011707,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,dice,CNN,U-Net,6,0.0162930185420729,0.30357967530169855,-0.16036067155889186,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,dice,CNN,Chance,6,0.0162930185420729,0.0070224187902965885,-0.001217315119654152,10.0,1.0,0.047619047619047616,1.0
patient,PhysioNet,dice,ViT,Hybrid,6,0.019179257019493013,0.0307484171624904,-0.001162949854915496,5.0,0.3125,-0.5238095238095238,0.9375
patient,PhysioNet,dice,ViT,U-Net,6,0.019179257019493013,0.30357967530169855,-0.15543218245565726,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,dice,ViT,Chance,6,0.019179257019493013,0.0070224187902965885,0.0067702610945667,1.0,0.0625,0.9047619047619048,0.3125
patient,PhysioNet,dice,Hybrid,U-Net,6,0.0307484171624904,0.30357967530169855,-0.15682203312139284,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,dice,Hybrid,Chance,6,0.0307484171624904,0.0070224187902965885,0.01763428601488057,3.0,0.15625,0.7142857142857143,0.625
patient,PhysioNet,dice,U-Net,Chance,6,0.30357967530169855,0.0070224187902965885,0.1587262148316244,0.0,0.03125,1.0,0.3125
patient,PhysioNet,iou,CNN,ViT,6,0.008664637280646263,0.009897975802961216,-0.0025055869832383425,7.0,0.5625,-0.3333333333333333,1.0
patient,PhysioNet,iou,CNN,Hybrid,6,0.008664637280646263,0.01646529316649903,-0.003071558224393003,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,iou,CNN,U-Net,6,0.008664637280646263,0.23126160857173214,-0.1045992043250178,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,iou,CNN,Chance,6,0.008664637280646263,0.003546941859962384,-0.0005028167235485107,10.0,1.0,0.047619047619047616,1.0
patient,PhysioNet,iou,ViT,Hybrid,6,0.009897975802961216,0.01646529316649903,-0.0009645626414567232,5.0,0.3125,-0.5238095238095238,0.9375
patient,PhysioNet,iou,ViT,U-Net,6,0.009897975802961216,0.23126160857173214,-0.10209361734177946,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,iou,ViT,Chance,6,0.009897975802961216,0.003546941859962384,0.0035210473612702726,1.0,0.0625,0.9047619047619048,0.3125
patient,PhysioNet,iou,Hybrid,U-Net,6,0.01646529316649903,0.23126160857173214,-0.1027546647436049,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,iou,Hybrid,Chance,6,0.01646529316649903,0.003546941859962384,0.009555871426224863,2.0,0.09375,0.8095238095238095,0.375
patient,PhysioNet,iou,U-Net,Chance,6,0.23126160857173214,0.003546941859962384,0.10391874774800133,0.0,0.03125,1.0,0.3125
patient,PhysioNet,recall,CNN,ViT,6,0.07208064249900925,0.40767389772232915,-0.2939373775605216,0.0,0.0625,-1.0,0.5
patient,PhysioNet,recall,CNN,Hybrid,6,0.07208064249900925,0.13012965156023332,-0.018406745563778616,3.0,0.3125,-0.6,1.0
patient,PhysioNet,recall,CNN,U-Net,6,0.07208064249900925,0.2628929310631923,-0.047402344587625884,3.0,0.3125,-0.6,1.0
patient,PhysioNet,recall,CNN,Chance,6,0.07208064249900925,0.49660753234844623,-0.4451429186802771,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,recall,ViT,Hybrid,6,0.40767389772232915,0.13012965156023332,0.23215197555772546,0.0,0.0625,1.0,0.5
patient,PhysioNet,recall,ViT,U-Net,6,0.40767389772232915,0.2628929310631923,0.13176183225004934,3.0,0.3125,0.6,1.0
patient,PhysioNet,recall,ViT,Chance,6,0.40767389772232915,0.49660753234844623,-0.1151217317286258,7.0,0.5625,-0.3333333333333333,1.0
patient,PhysioNet,recall,Hybrid,U-Net,6,0.13012965156023332,0.2628929310631923,-0.03735516122730467,3.0,0.3125,-0.6,1.0
patient,PhysioNet,recall,Hybrid,Chance,6,0.13012965156023332,0.49660753234844623,-0.3874914627069504,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,recall,U-Net,Chance,6,0.2628929310631923,0.49660753234844623,-0.40579366079070656,3.0,0.15625,-0.7142857142857143,0.9375
patient,PhysioNet,precision,CNN,ViT,6,0.00949736215124626,0.00986145271430488,-0.0018521712111330335,5.0,0.625,-0.3333333333333333,1.0
patient,PhysioNet,precision,CNN,Hybrid,6,0.00949736215124626,0.01825129089789845,-0.003025029259333678,0.0,0.0625,-1.0,0.625
patient,PhysioNet,precision,CNN,U-Net,6,0.00949736215124626,0.45741467981878353,-0.47675444995797756,0.0,0.0625,-1.0,0.625
patient,PhysioNet,precision,CNN,Chance,6,0.00949736215124626,0.003537102913573543,-0.0001888805378588254,9.0,0.84375,0.14285714285714285,1.0
